username,num_ratings,bitdepth,description,license,tags,url,preview-hq-ogg,avg_rating,channels,type,duration,experiment_url,samplerate,preview-hq-mp3,bitrate,id,name
Corsica_S,2,24,"After the operator has made the slides they are then put through a printer to add any needed information such as numbering or photographer name, etc.
This recording was made possible with kind cooperation from Blue Moon Camera and Machine (www.bluemooncamera.com). ",http://creativecommons.org/licenses/by/3.0/,whirr click foley dot-matrix historic raw sample photography camera bluemoon sound-museum printer shutter machine,https://www.freesound.org/people/Corsica_S/sounds/155765/,https://www.freesound.org/data/previews/155/155765_7037-hq.ogg,4.0,2,wav,101.366,http://kyoto.let.vu.nl/~miltenburg/sounds/155765.mp3,96000.0,https://www.freesound.org/data/previews/155/155765_7037-hq.mp3,4500,155765,slide printer.wav
Corsica_S,0,24,"Shooting and winding a Pentax 6x7 medium format camera. It has a huge shutter mechanism and the whole camera moves when it fires.
This recording was made possible with kind cooperation from Blue Moon Camera and Machine (www.bluemooncamera.com). ",http://creativecommons.org/licenses/by/3.0/,whirr click foley historic raw sample photography camera bluemoon sound-museum pentax shutter machine,https://www.freesound.org/people/Corsica_S/sounds/155764/,https://www.freesound.org/data/previews/155/155764_7037-hq.ogg,0.0,1,wav,61.2383,http://kyoto.let.vu.nl/~miltenburg/sounds/155764.mp3,96000.0,https://www.freesound.org/data/previews/155/155764_7037-hq.mp3,2251,155764,pentax 6x7 camera shutter.wav
Corsica_S,0,24,"Shooting and winding a Robot Star II Recorder camera. This is a very small camera from the 1950's.  There is some background noise from the store where this was recorded.
This recording was made possible with kind cooperation from Blue Moon Camera and Machine (www.bluemooncamera.com). ",http://creativecommons.org/licenses/by/3.0/,whirr click foley historic raw sample robot photography camera bluemoon sound-museum shutter machine,https://www.freesound.org/people/Corsica_S/sounds/155762/,https://www.freesound.org/data/previews/155/155762_7037-hq.ogg,0.0,1,wav,46.3963,http://kyoto.let.vu.nl/~miltenburg/sounds/155762.mp3,96000.0,https://www.freesound.org/data/previews/155/155762_7037-hq.mp3,2251,155762,robot star II recorder camera shutter.wav
Corsica_S,0,24,Winding and shooting a cheap Holga plastic pinhole camera. This recording was made possible with kind cooperation from Blue Moon Camera and Machine (www.bluemooncamera.com). ,http://creativecommons.org/licenses/by/3.0/,whirr click foley holga historic raw sample photography camera bluemoon sound-museum toy shutter machine,https://www.freesound.org/people/Corsica_S/sounds/155757/,https://www.freesound.org/data/previews/155/155757_7037-hq.ogg,0.0,1,wav,30.2853,http://kyoto.let.vu.nl/~miltenburg/sounds/155757.mp3,96000.0,https://www.freesound.org/data/previews/155/155757_7037-hq.mp3,2251,155757,holga pinhole camera shutter.wav
chrisw92,0,24,The sound of a machine humming as a background sound. This version is not processed with EQ resulting in a more 'gritty' and 'dirty' sound.,http://creativecommons.org/licenses/by/3.0/,fridge refrigerator dirty hum machine,https://www.freesound.org/people/chrisw92/sounds/155721/,https://www.freesound.org/data/previews/155/155721_1948192-hq.ogg,0.0,2,wav,48.7655,http://kyoto.let.vu.nl/~miltenburg/sounds/155721.mp3,96000.0,https://www.freesound.org/data/previews/155/155721_1948192-hq.mp3,4500,155721,Machine Hum Dirty
chrisw92,2,24,The sound of a machine humming in the background.,http://creativecommons.org/licenses/by/3.0/,refrigerator clean machine robot fridge hum,https://www.freesound.org/people/chrisw92/sounds/155720/,https://www.freesound.org/data/previews/155/155720_1948192-hq.ogg,5.0,2,wav,48.7655,http://kyoto.let.vu.nl/~miltenburg/sounds/155720.mp3,96000.0,https://www.freesound.org/data/previews/155/155720_1948192-hq.mp3,4500,155720,Machine Hum Clean
Slave2theLight,7,24,Single zombie flesh bite,http://creativecommons.org/licenses/by/3.0/,dead-season blood gore foley bite crunch flesh zombie,https://www.freesound.org/people/Slave2theLight/sounds/157049/,https://www.freesound.org/data/previews/157/157049_2835342-hq.ogg,4.714285714285715,2,aiff,2.92985,http://kyoto.let.vu.nl/~miltenburg/sounds/157049.mp3,48000.0,https://www.freesound.org/data/previews/157/157049_2835342-hq.mp3,2256,157049,Zombie Bite 1
AndreOnate,2,16,"This is a variation of this sound. 
 <a href=""http://www.freesound.org/people/hiddenpersuader/sounds/157774/"" rel=""nofollow"">http://www.freesound.org/people/hiddenpersuader/sounds/157774/</a> 

by hiddenpersuader.  I just took it and did some relevant panning to it.  ",http://creativecommons.org/publicdomain/zero/1.0/,circuit-bending experimental noise glitch machine rythmic-distortion lo-fi circuits circuit-bent robo,https://www.freesound.org/people/AndreOnate/sounds/163402/,https://www.freesound.org/data/previews/163/163402_2448533-hq.ogg,5.0,2,wav,40.2732,http://kyoto.let.vu.nl/~miltenburg/sounds/163402.mp3,44100.0,https://www.freesound.org/data/previews/163/163402_2448533-hq.mp3,1378,163402,children-s-toy-circuit-bent relevant panning.wav
smidoid,0,32,At lower volumes this sound (which is the sound of an industrial refrigeration unit) sounds like a distant factor humming away at night; or perhaps even the cabin of a motor car. This sample should be easily loopable.,http://creativecommons.org/licenses/by/3.0/,refrigerator industry humming machine,https://www.freesound.org/people/smidoid/sounds/147676/,https://www.freesound.org/data/previews/147/147676_485393-hq.ogg,0.0,2,wav,12.3835,http://kyoto.let.vu.nl/~miltenburg/sounds/147676.mp3,44100.0,https://www.freesound.org/data/previews/147/147676_485393-hq.mp3,2766,147676,machines.wav
TheVille,0,24,"I recorded these sounds with my Korg Monotribe. I found it can produce some seriously awesome percussion sounds, most cool of them being kick drums.",http://creativecommons.org/licenses/by/3.0/,percussion analog monotribe wobble fx,https://www.freesound.org/people/TheVille/sounds/147465/,https://www.freesound.org/data/previews/147/147465_2638956-hq.ogg,0.0,1,wav,1.59973,http://kyoto.let.vu.nl/~miltenburg/sounds/147465.mp3,44100.0,https://www.freesound.org/data/previews/147/147465_2638956-hq.mp3,1035,147465,FX_wobble3.wav
Ionicsmusic,0,16,"A collection of common commands and key words for interfaces and application. Useful for developers.
",http://creativecommons.org/licenses/by-nc/3.0/,talk voice android speech interface robotic galaxy command computer game application machine robot space windows spacehip word alien,https://www.freesound.org/people/Ionicsmusic/sounds/137936/,https://www.freesound.org/data/previews/137/137936_2526129-hq.ogg,0.0,2,wav,0.989977,http://kyoto.let.vu.nl/~miltenburg/sounds/137936.mp3,44100.0,https://www.freesound.org/data/previews/137/137936_2526129-hq.mp3,1378,137936,Robot voice - go.wav
Ionicsmusic,1,16,"A collection of common commands and key words for interfaces and application. Useful for developers.
",http://creativecommons.org/licenses/by-nc/3.0/,talk voice android speech interface robotic galaxy command computer game application machine robot space windows spacehip word alien,https://www.freesound.org/people/Ionicsmusic/sounds/137923/,https://www.freesound.org/data/previews/137/137923_2526129-hq.ogg,4.0,2,wav,1.46025,http://kyoto.let.vu.nl/~miltenburg/sounds/137923.mp3,44100.0,https://www.freesound.org/data/previews/137/137923_2526129-hq.mp3,1378,137923,Robot voice - virus detected.wav
Ionicsmusic,0,16,"A collection of common commands and key words for interfaces and application. Useful for developers.
",http://creativecommons.org/licenses/by-nc/3.0/,talk voice android speech interface robotic galaxy command computer game application machine robot space windows spacehip word alien,https://www.freesound.org/people/Ionicsmusic/sounds/137912/,https://www.freesound.org/data/previews/137/137912_2526129-hq.ogg,0.0,2,wav,0.746825,http://kyoto.let.vu.nl/~miltenburg/sounds/137912.mp3,44100.0,https://www.freesound.org/data/previews/137/137912_2526129-hq.mp3,1379,137912,Robot voice - shotgun.wav
Ionicsmusic,0,16,"A collection of common commands and key words for interfaces and application. Useful for developers.
",http://creativecommons.org/licenses/by-nc/3.0/,talk voice android speech interface robotic galaxy command computer game application machine robot space windows spacehip word alien,https://www.freesound.org/people/Ionicsmusic/sounds/137910/,https://www.freesound.org/data/previews/137/137910_2526129-hq.ogg,0.0,2,wav,1.12281,http://kyoto.let.vu.nl/~miltenburg/sounds/137910.mp3,44100.0,https://www.freesound.org/data/previews/137/137910_2526129-hq.mp3,1378,137910,Robot voice - no amo.wav
Ionicsmusic,1,16,"A collection of common commands and key words for interfaces and application. Useful for developers.
",http://creativecommons.org/licenses/by-nc/3.0/,talk voice android speech interface roboti galaxy command computer game application machine robot space windows spacehip word alien,https://www.freesound.org/people/Ionicsmusic/sounds/137904/,https://www.freesound.org/data/previews/137/137904_2526129-hq.ogg,4.0,2,wav,13.0807,http://kyoto.let.vu.nl/~miltenburg/sounds/137904.mp3,44100.0,https://www.freesound.org/data/previews/137/137904_2526129-hq.mp3,1378,137904,Robot voice - countdown 10 to 1.wav
steveygos93,2,16,I processed a synthesised voice heavily and made a cool sound with it. ,http://creativecommons.org/licenses/by/3.0/,alien machine robot synthesis synthesised voice weird,https://www.freesound.org/people/steveygos93/sounds/123091/,https://www.freesound.org/data/previews/123/123091_1142713-hq.ogg,5.0,2,wav,32.5707029478,http://kyoto.let.vu.nl/~miltenburg/sounds/123091.mp3,44100.0,https://www.freesound.org/data/previews/123/123091_1142713-hq.mp3,1411,123091,comb.wav
metmass,1,16,"A weird ""electro energy machine"" fading in.",http://creativecommons.org/publicdomain/zero/1.0/,ambient electro machine space weird,https://www.freesound.org/people/metmass/sounds/123079/,https://www.freesound.org/data/previews/123/123079_1559676-hq.ogg,3.5,2,wav,3.63392290249,http://kyoto.let.vu.nl/~miltenburg/sounds/123079.mp3,44100.0,https://www.freesound.org/data/previews/123/123079_1559676-hq.mp3,1411,123079,fadein_energy.wav
Timbre,1,16,"before-after remix of freesound 124153.
Synth drum sample before-after de-hum and de-hiss",http://creativecommons.org/licenses/by-nc/3.0/,hardware hit machine drum-machine emx-1 repair electronic synth 124153 synthesised bass comadjinn de-hiss de-hum drum,https://www.freesound.org/people/Timbre/sounds/124252/,https://www.freesound.org/data/previews/124/124252_1015240-hq.ogg,3.0,2,flac,3.85616666667,http://kyoto.let.vu.nl/~miltenburg/sounds/124252.mp3,48000.0,https://www.freesound.org/data/previews/124/124252_1015240-hq.mp3,129,124252,before-after remix of 124153__comadjinn__Synth_Bass_Drum_Hit-1v.flac
lewk,0,16,Circuit bending a toy keyboard through a bass effects pedal,http://creativecommons.org/licenses/by-nc/3.0/,circuit-bending glitch noise,https://www.freesound.org/people/lewk/sounds/114704/,https://www.freesound.org/data/previews/114/114704_386307-hq.ogg,0.0,1,flac,59.7938548753,http://kyoto.let.vu.nl/~miltenburg/sounds/114704.mp3,44100.0,https://www.freesound.org/data/previews/114/114704_386307-hq.mp3,487,114704,circut bending 0.flac
Oscar de Ávila,1,24,"Opening and closing at various intensities, from a kitchen drawer full of silverware.",http://creativecommons.org/publicdomain/zero/1.0/,silver ware drawer House-sounds Kitchen-sounds Foley,https://www.freesound.org/people/Oscar%20de%20%C3%81vila/sounds/139329/,https://www.freesound.org/data/previews/139/139329_2228523-hq.ogg,5.0,2,wav,40.2132,http://kyoto.let.vu.nl/~miltenburg/sounds/139329.mp3,48000.0,https://www.freesound.org/data/previews/139/139329_2228523-hq.mp3,2250,139329,Opening and closing a Kitchen drawer.wav
Tomlija,9,24,"My friend Djansr and me kicking an empty beer can in the middle of the street, at 3 am. :) Location: Bitef Theatre, Dorcol, Belgrade, Serbia. Recorded with Zoom H4n. Nice kicking and rolling tin sounds, in my opinion. Please rate, comment and share. In case you download some of my sounds and use them in your audiovisual artwork, the only thing I ask from you is to let me know where and how they ended up. It would be a pleasure. Please feel free to send me a private message if you have any questions or suggestions. I really try to keep an open mind for everything. Thank you. Peace. Matt",http://creativecommons.org/licenses/by/3.0/,metal 20 5 beer belgrade beograd beverage bounce bouncing can cinematic concrete drink drinking empty foley h4n kick kicking liquid liter object oz punch punching roll rolling serbia sfx srbija street tin tomlija 0 zoom,https://www.freesound.org/people/Tomlija/sounds/106611/,https://www.freesound.org/data/previews/106/106611_1163166-hq.ogg,4.22222222222222,2,aif,10.76875,http://kyoto.let.vu.nl/~miltenburg/sounds/106611.mp3,48000.0,https://www.freesound.org/data/previews/106/106611_1163166-hq.mp3,2304,106611,kicking an empty 20 oz beer can.aif
